ID,Tempat Wisata,Tahun,Wisnus,Wisman
1,Museum Bali,2020,4248,3082
2,Museum Bali,2021,1991,86
3,Museum Bali,2022,11535,6553
4,Museum Bali,2023,18230,13803
5,Museum Bali,2024,24796,13835
6,Museum Le Mayuer,2020,1345,413
7,Museum Le Mayuer,2021,131,1
8,Museum Le Mayuer,2022,845,707
9,Museum Le Mayuer,2023,1984,1848
10,Museum Le Mayuer,2024,3816,1466
11,Taman Budaya art centre,2020,717,93
12,Taman Budaya art centre,2021,1903,12
13,Taman Budaya art centre,2022,9895,439
14,Taman Budaya art centre,2023,3720,917
15,Taman Budaya art centre,2024,621,212
16,Pulau Serangan,2020,2395,2595
17,Pulau Serangan,2021,1404,214
18,Pulau Serangan,2022,0,0
19,Pulau Serangan,2023,0,0
20,Pulau Serangan,2024,0,0
21,Prasasti Blanjong,2020,0,0
22,Prasasti Blanjong,2021,73,0
23,Prasasti Blanjong,2022,42,14
24,Prasasti Blanjong,2023,8,6
25,Prasasti Blanjong,2024,69,10
26,Pasar Kumbasari,2020,0,1319
27,Pasar Kumbasari,2021,0,0
28,Pasar Kumbasari,2022,0,576
29,Pasar Kumbasari,2023,4775,2478
30,Pasar Kumbasari,2024,10162,7670
31,Pasar Badung,2020,0,2660
32,Pasar Badung,2021,0,0
33,Pasar Badung,2022,157,6769
34,Pasar Badung,2023,18737,13924
35,Pasar Badung,2024,19705,15058
36,Museum Lukisan Sidik Jari,2020,147,14
37,Museum Lukisan Sidik Jari,2021,223,23
38,Museum Lukisan Sidik Jari,2022,199,5
39,Museum Lukisan Sidik Jari,2023,325,10
40,Museum Lukisan Sidik Jari,2024,204,19
41,Monumen Perjuangan Rakyat Bali,2020,37443,4736
42,Monumen Perjuangan Rakyat Bali,2021,6325,198
43,Monumen Perjuangan Rakyat Bali,2022,98482,7222
44,Monumen Perjuangan Rakyat Bali,2023,101998,15404
45,Monumen Perjuangan Rakyat Bali,2024,184783,12096
46,Desa Budaya Kertalangu,2020,4027,95
47,Desa Budaya Kertalangu,2021,4770,0
48,Desa Budaya Kertalangu,2022,107013,0
49,Desa Budaya Kertalangu,2023,0,0
50,Desa Budaya Kertalangu,2024,0,0
51,Pura Maspahit Grenceng,2020,0,0
52,Pura Maspahit Grenceng,2021,68,5
53,Pura Maspahit Grenceng,2022,235,93
54,Pura Maspahit Grenceng,2023,154,1402
55,Pura Maspahit Grenceng,2024,108,509
56,Keris Dance,2020,375,6300
57,Keris Dance,2021,28,0
58,Keris Dance,2022,0,0
59,Keris Dance,2023,0,0
60,Keris Dance,2024,0,0
61,Pura Maospahit Tonja,2020,0,0
62,Pura Maospahit Tonja,2021,20,2
63,Pura Maospahit Tonja,2022,155,0
64,Pura Maospahit Tonja,2023,105,0
65,Pura Maospahit Tonja,2024,0,0
66,Taman Inspirasi (Muntig Siokan Mertasari ),2020,0,0
67,Taman Inspirasi (Muntig Siokan Mertasari ),2021,61991,949
68,Taman Inspirasi (Muntig Siokan Mertasari ),2022,60922,4655
69,Taman Inspirasi (Muntig Siokan Mertasari ),2023,19196,663
70,Taman Inspirasi (Muntig Siokan Mertasari ),2024,11353,4155
71,Pantai Matahari Terbit Dan Bali Beach,2020,0,0
72,Pantai Matahari Terbit Dan Bali Beach,2021,201967,7189
73,Pantai Matahari Terbit Dan Bali Beach,2022,446469,96553
