ID,Wilayah,Tempat Wisata,Tahun,Wisnus,Wisman
1,DENPASAR CITY,Museum Bali,2020,4248,3082
2,DENPASAR CITY,Museum Bali,2021,1991,86
3,DENPASAR CITY,Museum Bali,2022,11535,6553
4,DENPASAR CITY,Museum Bali,2023,18230,13803
5,DENPASAR CITY,Museum Bali,2024,24796,13835
6,DENPASAR CITY,Museum Le Mayuer,2020,1345,413
7,DENPASAR CITY,Museum Le Mayuer,2021,131,1
8,DENPASAR CITY,Museum Le Mayuer,2022,845,707
9,DENPASAR CITY,Museum Le Mayuer,2023,1984,1848
10,DENPASAR CITY,Museum Le Mayuer,2024,3816,1466
11,DENPASAR CITY,Taman Budaya art centre,2020,717,93
12,DENPASAR CITY,Taman Budaya art centre,2021,1903,12
13,DENPASAR CITY,Taman Budaya art centre,2022,9895,439
14,DENPASAR CITY,Taman Budaya art centre,2023,3720,917
15,DENPASAR CITY,Taman Budaya art centre,2024,621,212
16,DENPASAR CITY,Pulau Serangan,2020,2395,2595
17,DENPASAR CITY,Pulau Serangan,2021,1404,214
18,DENPASAR CITY,Pulau Serangan,2022,0,0
19,DENPASAR CITY,Pulau Serangan,2023,0,0
20,DENPASAR CITY,Pulau Serangan,2024,0,0
21,DENPASAR CITY,Prasasti Blanjong,2020,0,0
22,DENPASAR CITY,Prasasti Blanjong,2021,73,0
23,DENPASAR CITY,Prasasti Blanjong,2022,42,14
24,DENPASAR CITY,Prasasti Blanjong,2023,8,6
25,DENPASAR CITY,Prasasti Blanjong,2024,69,10
26,DENPASAR CITY,Pasar Kumbasari,2020,0,1319
27,DENPASAR CITY,Pasar Kumbasari,2021,0,0
28,DENPASAR CITY,Pasar Kumbasari,2022,0,576
29,DENPASAR CITY,Pasar Kumbasari,2023,4775,2478
30,DENPASAR CITY,Pasar Kumbasari,2024,10162,7670
31,DENPASAR CITY,Pasar Badung,2020,0,2660
32,DENPASAR CITY,Pasar Badung,2021,0,0
33,DENPASAR CITY,Pasar Badung,2022,157,6769
